,Zipcode,Square Feet,Bedrooms,Bathrooms,Review Scores Rating,Accommodates,Cleaning Fee,Free Parking,Wireless Internet,Cable TV,Prop_encoded,cancel_encoded,Price
44336,78751.0,900.0,2.0,1.0,96.0,6.0,80.0,1.0,1.0,1.0,1.0,2.0,175.0
44386,78741.0,2200.0,3.0,2.5,100.0,6.0,40.0,1.0,1.0,1.0,1.0,0.0,500.0
44392,78704.0,2500.0,5.0,4.0,100.0,12.0,200.0,1.0,1.0,1.0,1.0,0.0,395.0
44457,60661.0,1050.0,2.0,1.5,98.0,3.0,50.0,0.0,1.0,1.0,1.0,0.0,195.0
44505,80210.0,1200.0,3.0,1.0,96.0,8.0,125.0,0.0,1.0,1.0,1.0,2.0,175.0
44785,80211.0,300.0,1.0,1.0,97.0,2.0,15.0,0.0,1.0,1.0,1.0,2.0,105.0
44862,80211.0,800.0,1.0,1.0,93.0,4.0,30.0,0.0,1.0,1.0,1.0,0.0,95.0
45118,90046.0,250.0,1.0,1.0,95.0,2.0,65.0,1.0,1.0,1.0,1.0,2.0,82.0
45154,91775.0,800.0,2.0,1.0,97.0,6.0,100.0,1.0,1.0,0.0,1.0,2.0,128.0
45278,90015.0,0.0,1.0,1.0,100.0,4.0,69.0,1.0,1.0,1.0,1.0,2.0,169.0
45462,90038.0,415.0,1.0,1.0,98.0,2.0,20.0,1.0,1.0,1.0,1.0,2.0,105.0
45591,91202.0,1200.0,2.0,1.0,95.0,6.0,80.0,1.0,1.0,1.0,1.0,2.0,150.0
45654,90026.0,500.0,1.0,1.0,99.0,3.0,90.0,0.0,1.0,0.0,1.0,2.0,160.0
45738,91406.0,500.0,1.0,1.0,98.0,2.0,70.0,1.0,1.0,1.0,1.0,0.0,109.0
45989,94618.0,1100.0,2.0,1.0,92.0,6.0,100.0,0.0,1.0,1.0,1.0,2.0,165.0
46310,90005.0,200.0,1.0,2.0,81.0,3.0,10.0,1.0,1.0,0.0,1.0,0.0,59.0
46536,910012243.0,300.0,1.0,1.0,96.0,2.0,20.0,1.0,1.0,1.0,1.0,0.0,89.0
46554,90039.0,400.0,1.0,1.0,100.0,1.0,50.0,0.0,1.0,0.0,1.0,0.0,65.0
46655,90290.0,112.0,1.0,1.0,99.0,2.0,45.0,1.0,1.0,0.0,1.0,0.0,88.0
46859,90026.0,780.0,2.0,1.0,99.0,4.0,70.0,0.0,1.0,1.0,1.0,0.0,165.0
47149,37208.0,800.0,2.0,1.5,96.0,5.0,60.0,0.0,1.0,1.0,1.0,0.0,115.0
47172,70125.0,2300.0,3.0,3.0,90.0,16.0,200.0,1.0,1.0,1.0,1.0,2.0,600.0
47202,10305.0,700.0,1.0,1.0,90.0,6.0,75.0,0.0,1.0,0.0,1.0,2.0,125.0
47236,70119.0,300.0,1.0,1.0,99.0,4.0,15.0,1.0,1.0,1.0,1.0,2.0,125.0
47250,70118.0,1000.0,1.0,1.0,96.0,2.0,65.0,0.0,1.0,1.0,1.0,0.0,125.0
47285,70032.0,0.0,1.0,1.0,94.0,3.0,45.0,1.0,1.0,1.0,1.0,2.0,85.0
47290,70115.0,2000.0,4.0,2.0,100.0,8.0,150.0,1.0,1.0,1.0,1.0,0.0,450.0
47351,11205.0,800.0,1.0,1.0,70.0,2.0,50.0,0.0,1.0,0.0,1.0,2.0,70.0
47615,10019.0,550.0,1.0,1.0,82.0,4.0,65.0,0.0,1.0,1.0,1.0,2.0,149.0
47850,11217.0,1000.0,1.0,1.5,97.0,4.0,80.0,0.0,1.0,0.0,1.0,0.0,200.0
47902,10014.0,220.0,1.0,1.0,99.0,2.0,75.0,0.0,1.0,1.0,1.0,2.0,125.0
48260,10002.0,1200.0,2.0,1.0,98.0,5.0,80.0,0.0,1.0,0.0,1.0,2.0,400.0
48273,11225.0,750.0,2.0,1.0,86.0,4.0,200.0,0.0,1.0,0.0,1.0,2.0,150.0
48472,94133.0,2250.0,4.0,2.0,100.0,7.0,150.0,0.0,1.0,0.0,1.0,0.0,650.0
48590,94107.0,900.0,1.0,1.0,100.0,2.0,45.0,0.0,1.0,1.0,1.0,2.0,165.0
48679,98102.0,1850.0,3.0,2.0,93.0,10.0,300.0,0.0,1.0,1.0,1.0,2.0,360.0
48989,92102.0,200.0,1.0,1.0,95.0,2.0,35.0,0.0,1.0,1.0,1.0,0.0,75.0
